,coefficient_low,coefficient_medium,coefficient_high,largest_absolute_coefficient
blood_sugar_mg_dl,-15.320349753107413,-0.3102819256006073,15.630631678708012,15.630631678708012
cholesterol_mg_dl,-14.082779126398421,-0.38450670105469487,14.46728582745314,14.46728582745314
age,-13.257966416156695,-0.5957820172942333,13.853748433450944,13.853748433450944
bmi,-12.866313883058867,-0.5975170148856309,13.463830897944492,13.463830897944492
previous_admissions,-7.717416727447031,-1.0235164779326957,8.74093320537973,8.74093320537973
gender_Female,-6.8316397877127395,4.62143041568142,2.210209372031316,6.8316397877127395
gender_Male,-6.614815355126811,4.828085201114346,1.7867301540124627,6.614815355126811
systolic_bp,-3.185911901373951,-0.2207571153651023,3.4066690167390483,3.4066690167390483
pulse_pressure,-2.5849103385210475,-0.24950933322279026,2.834419671743842,2.834419671743842
mean_arterial_pressure,-2.0885113093936263,-0.04755334462760112,2.136064654021223,2.136064654021223
has_previous_admission,-0.6232171682993547,0.5245022563621353,0.09871491193722486,0.6232171682993547
diastolic_bp,-0.2619215365506578,0.10716082163147253,0.15476071491918172,0.2619215365506578
